"Entity"	"Bio_StationID"	"BenSampID"	"Bio_CollDate"	"Bio_Year"	"Bio_Month"	"CollMeth"	"Regional_FinalID"	"OTU"	"Exclude"	"SumOfIndivids"	"TotalInd"	"RelAbund"
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Isonychia"	"Isonychiidae"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Lepidostoma"	"Lepidostomatidae"	0	3.00	267.00	1.12
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Leucotrichia pictipes"	"Leucotrichia"	0	2.00	267.00	0.74
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Micropsectra"	"Micropsectra"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Microtendipes pedellus"	"Microtendipes"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Nigronia serricornis"	"Nigronia"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Optioservus"	"Optioservus"	0	16.00	267.00	5.99
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Oulimnius"	"Oulimnius"	0	7.00	267.00	8.23
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Oulimnius latiusculus"	"Oulimnius"	0	15.00	267.00	8.23
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Parametriocnemus"	"Parametriocnemus"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Promoresia tardella"	"Promoresia"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Prostoma"	"Prostoma"	0	2.00	267.00	0.74
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Psephenus herricki"	"Psephenus"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Rhyacophila fuscula"	"Rhyacophilidae"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Simulium"	"Simulium"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Stenelmis"	"Stenelmis"	0	13.00	267.00	4.86
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Taeniopteryx"	"Taeniopterygidae"	0	57.00	267.00	21.34
"CT DEP"	"CTDEP_1089"	"CTDEP_14084"	10/23/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Tvetenia bavarica"	"Tvetenia"	0	1.00	267.00	0.37
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Acroneuria"	"Acroneuria"	0	1.00	219.00	0.91
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Acroneuria abnormis"	"Acroneuria"	0	1.00	219.00	0.91
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Antocha"	"Antocha"	0	2.00	219.00	0.91
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Baetis"	"Baetis"	0	8.00	219.00	4.56
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Baetis flavistriga"	"Baetis"	0	2.00	219.00	4.56
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche bronta"	"Ceratopsyche/Hydropsyche"	0	8.00	219.00	22.37
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche morosa"	"Ceratopsyche/Hydropsyche"	0	27.00	219.00	22.37
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche sparna"	"Ceratopsyche/Hydropsyche"	0	6.00	219.00	22.37
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Cheumatopsyche"	"Cheumatopsyche"	0	9.00	219.00	4.10
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Chimarra aterrima"	"Chimarra"	0	27.00	219.00	12.32
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Eukiefferiella devonica"	"Eukiefferiella"	0	1.00	219.00	0.45
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Ferrissia"	"Ferrissia"	0	1.00	219.00	0.45
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Gammarus"	"Gammarus"	0	3.00	219.00	1.36
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Hydropsyche"	"Ceratopsyche/Hydropsyche"	0	8.00	219.00	22.37
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Isonychia"	"Isonychiidae"	0	9.00	219.00	4.10
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Leucotrichia pictipes"	"Leucotrichia"	0	3.00	219.00	1.36
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Maccaffertium"	"Maccaffertium/Stenonema"	0	6.00	219.00	2.73
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Optioservus"	"Optioservus"	0	33.00	219.00	15.52
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Optioservus ovalis"	"Optioservus"	0	1.00	219.00	15.52
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Oulimnius latiusculus"	"Oulimnius"	0	10.00	219.00	4.56
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Promoresia tardella"	"Promoresia"	0	3.00	219.00	1.36
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Psephenus herricki"	"Psephenus"	0	6.00	219.00	2.73
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Rheotanytarsus exiguus"	"Rheotanytarsus"	0	1.00	219.00	0.45
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Rhyacophila"	"Rhyacophilidae"	0	2.00	219.00	1.36
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Rhyacophila fuscula"	"Rhyacophilidae"	0	1.00	219.00	1.36
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Simulium"	"Simulium"	0	2.00	219.00	0.91
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Stenelmis"	"Stenelmis"	0	12.00	219.00	5.47
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Tvetenia bavarica"	"Tvetenia"	0	2.00	219.00	1.36
"CT DEP"	"CTDEP_1089"	"CTDEP_15560"	9/15/2009 0:00:00	2009	9	"CTDEP_KN_2M2_Riffle"	"Tvetenia vitracies"	"Tvetenia"	0	1.00	219.00	1.36
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Ancyronyx variegatus"	"Ancyronyx"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Cheumatopsyche"	"Cheumatopsyche"	0	158.00	225.00	70.22
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Corbicula fluminea"	"Corbicula"	0	3.00	225.00	1.33
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Cricotopus bicinctus"	"Cricotopus"	0	6.00	225.00	3.11
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Cricotopus trifascia"	"Cricotopus"	0	1.00	225.00	3.11
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Dicrotendipes"	"Dicrotendipes"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Gammarus"	"Gammarus"	0	7.00	225.00	3.11
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Glyptotendipes"	"Glyptotendipes"	0	2.00	225.00	0.88
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Haliplus"	"Haliplidae"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Hemerodromia"	"Empididae"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Lebertia"	"Trombidiformes"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Maccaffertium"	"Maccaffertium/Stenonema"	0	7.00	225.00	3.11
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Macronychus glabratus"	"Macronychus"	0	2.00	225.00	0.88
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Optioservus"	"Optioservus"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Orconectes"	"Orconectes"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Orthocladius"	"Orthocladius"	0	2.00	225.00	0.88
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Rheocricotopus"	"Rheocricotopus"	0	2.00	225.00	0.88
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Rheotanytarsus exiguus"	"Rheotanytarsus"	0	3.00	225.00	1.33
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Simulium"	"Simulium"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Stenelmis"	"Stenelmis"	0	20.00	225.00	8.88
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Taeniopteryx"	"Taeniopterygidae"	0	1.00	225.00	0.44
"CT DEP"	"CTDEP_110"	"CTDEP_13981"	10/6/2008 0:00:00	2008	10	"CTDEP_KN_2M2_Riffle"	"Tvetenia vitracies"	"Tvetenia"	0	2.00	225.00	0.88
"CT DEP"	"CTDEP_1156"	"CTDEP_24442"	7/27/1988 0:00:00	1988	7	"CTDEP_Surber_Riffle"	"Leptophlebiidae"	"Leptophlebiidae"	0	6.00	172.00	3.48
"CT DEP"	"CTDEP_1156"	"CTDEP_24442"	7/27/1988 0:00:00	1988	7	"CTDEP_Surber_Riffle"	"Rhyacophilidae"	"Rhyacophilidae"	0	2.00	172.00	1.16
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Antocha"	"Antocha"	0	3.00	223.00	1.34
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Baetis flavistriga"	"Baetis"	0	9.00	223.00	4.93
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Baetis tricaudatus"	"Baetis"	0	2.00	223.00	4.93
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche"	"Ceratopsyche/Hydropsyche"	0	54.00	223.00	34.08
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche bronta"	"Ceratopsyche/Hydropsyche"	0	4.00	223.00	34.08
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche sparna"	"Ceratopsyche/Hydropsyche"	0	12.00	223.00	34.08
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Cheumatopsyche"	"Cheumatopsyche"	0	54.00	223.00	24.21
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Chimarra aterrima"	"Chimarra"	0	48.00	223.00	21.52
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Corynoneura"	"Corynoneura"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Diamesa"	"Diamesa"	0	3.00	223.00	1.34
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Glossosoma"	"Glossosoma"	0	4.00	223.00	1.79
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Hemerodromia"	"Empididae"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Hydropsyche betteni"	"Ceratopsyche/Hydropsyche"	0	6.00	223.00	34.08
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Lumbriculidae"	"Lumbriculidae"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Maccaffertium"	"Maccaffertium/Stenonema"	0	2.00	223.00	1.34
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Maccaffertium modestum"	"Maccaffertium/Stenonema"	0	1.00	223.00	1.34
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Micrasema"	"Micrasema"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Microcylloepus"	"Microcylloepus"	0	2.00	223.00	0.89
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Mystacides sepulchralis"	"Mystacides"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Oecetis"	"Oecetis"	0	2.00	223.00	0.89
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Oulimnius latiusculus"	"Oulimnius"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Polypedilum aviceps"	"Polypedilum"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Promoresia tardella"	"Promoresia"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Prostoma"	"Prostoma"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Psephenus herricki"	"Psephenus"	0	2.00	223.00	0.89
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Rheocricotopus"	"Rheocricotopus"	0	1.00	223.00	0.44
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Rheotanytarsus exiguus"	"Rheotanytarsus"	0	2.00	223.00	0.89
"CT DEP"	"CTDEP_1281"	"CTDEP_12057"	10/2/2007 0:00:00	2007	10	"CTDEP_KN_2M2_Riffle"	"Tvetenia bavarica"	"Tvetenia"	0	2.00	223.00	0.89
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Antocha"	"Antocha"	0	3.00	205.00	1.46
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Baetis flavistriga"	"Baetis"	0	2.00	205.00	2.92
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Baetis tricaudatus"	"Baetis"	0	4.00	205.00	2.92
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Boyeria vinosa"	"Aeshnidae"	0	1.00	205.00	0.48
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche bronta"	"Ceratopsyche/Hydropsyche"	0	1.00	205.00	21.95
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Ceratopsyche sparna"	"Ceratopsyche/Hydropsyche"	0	1.00	205.00	21.95
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Cheumatopsyche"	"Cheumatopsyche"	0	94.00	205.00	45.85
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Chimarra aterrima"	"Chimarra"	0	4.00	205.00	1.95
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Diamesa"	"Diamesa"	0	4.00	205.00	1.95
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Glossosoma"	"Glossosoma"	0	11.00	205.00	5.36
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Hydropsyche"	"Ceratopsyche/Hydropsyche"	0	20.00	205.00	21.95
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Hydropsyche betteni"	"Ceratopsyche/Hydropsyche"	0	23.00	205.00	21.95
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Lumbriculidae"	"Lumbriculidae"	0	2.00	205.00	0.97
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Lype diversa"	"Lype"	0	1.00	205.00	0.48
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Microcylloepus"	"Microcylloepus"	0	3.00	205.00	1.46
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Optioservus"	"Optioservus"	0	1.00	205.00	0.48
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Paracricotopus"	"Paracricotopus"	0	1.00	205.00	0.48
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Pisidiidae"	"Pisidiidae"	0	4.00	205.00	1.95
"CT DEP"	"CTDEP_1281"	"CTDEP_9786"	9/20/2006 0:00:00	2006	9	"CTDEP_KN_2M2_Riffle"	"Polypedilum aviceps"	"Polypedilum"	0	1.00	205.00	0.48
